subtitle_set_id,asset_id,asset_name
inspiration_plane_31,0,B203.4L.31Fxx.aid
inspiration_plane_32,0,B203.4L.32Fxx.aid
inspiration_ending,0,B203.4L.17Fxx.qta
inspiration_piazza_start,0,B302_303.01Fxx.trn
inspiration_piazza_win,0,B308.6L.01Fxx.qta
inspiration_piazza_win,0,B305.0L.01Fxx.qta
inspiration_piazza_win,0,B306.4L.01Fxx.qta
inspiration_piazza_win,0,B311.6L.01Fxx.qta
inspiration_piazza_win,0,B315.2L.01Fxx.qta
inspiration_piazza_win,0,B318.4L.01Fxx.qta
inspiration_piazza_win,0,B317.0L.01Fxx.qta
inspiration_piazza_win,0,B312.2L.01Fxx.qta
inspiration_max_trapped,0,B104.4U.01Fxx.cut
inspiration_gallery_bureau,0,B508.0L.01Fxx.aid
inspiration_gallery_spider,0,B514.0L.01Fxx.aid
inspiration_gallery_inspiration,0,B520.0L.01Fxx.aid
inspiration_gallery_frame_incomplete,0,B521.2U.01Fxx.aid
inspiration_gallery_frame_complete,0,B521.2U.02Fxx.aid
conductor_max_trapped,0,C103.0L.01Fxx.aid
conductor_max_comeback,0,C103.0L.03Fxx.aid
conductor_max_dontleave,0,C103.0L.02Fxx.aid
conductor_max_trapped_close,0,C104.0L.03Fxx.cut
conductor_max_escape,0,C104.0L.01Fxx.cut
conductor_max_chip,0,C105.2L.01Fxx.cut
conductor_max_chip2,0,C105.2L.02Fxx.cut
conductor_ending_intro,0,C106.4L.01Fxx.cut
conductor_ending_good,0,C106.4L.01Fxx.qta
conductor_ending_bad,0,C106.4L.02Fxx.qta
